RUN	simulations.BasicLoadSimulation	basicloadsimulation	1577965112875	 	3.0.2
USER	Basic Load Simulation 	2	START	1577965118677	1577965118677
USER	Basic Load Simulation 	6	START	1577965118685	1577965118685
USER	Basic Load Simulation 	4	START	1577965118677	1577965118677
USER	Basic Load Simulation 	5	START	1577965118677	1577965118677
USER	Basic Load Simulation 	1	START	1577965118677	1577965118677
USER	Basic Load Simulation 	3	START	1577965118677	1577965118677
REQUEST	6		get all video games	1577965118715	1577965118739	OK	 
REQUEST	4		get all video games	1577965118715	1577965118735	OK	 
REQUEST	1		get all video games	1577965118715	1577965118735	OK	 
REQUEST	5		get all video games	1577965118715	1577965118736	OK	 
REQUEST	3		get all video games	1577965118715	1577965118735	OK	 
REQUEST	2		get all video games	1577965118715	1577965118738	OK	 
USER	Basic Load Simulation 	7	START	1577965119676	1577965119676
REQUEST	7		get all video games	1577965119677	1577965119686	OK	 
USER	Basic Load Simulation 	8	START	1577965120677	1577965120677
REQUEST	8		get all video games	1577965120678	1577965120686	OK	 
USER	Basic Load Simulation 	9	START	1577965121677	1577965121677
REQUEST	9		get all video games	1577965121678	1577965121686	OK	 
USER	Basic Load Simulation 	10	START	1577965122677	1577965122677
REQUEST	10		get all video games	1577965122677	1577965122685	OK	 
USER	Basic Load Simulation 	11	START	1577965123676	1577965123676
REQUEST	11		get all video games	1577965123677	1577965123685	OK	 
REQUEST	5		get specific video game	1577965123757	1577965123769	OK	 
REQUEST	2		get specific video game	1577965123757	1577965123769	OK	 
REQUEST	1		get specific video game	1577965123757	1577965123769	OK	 
REQUEST	4		get specific video game	1577965123757	1577965123769	OK	 
REQUEST	6		get specific video game	1577965123757	1577965123769	OK	 
REQUEST	3		get specific video game	1577965123757	1577965123770	OK	 
USER	Basic Load Simulation 	12	START	1577965124677	1577965124677
REQUEST	12		get all video games	1577965124678	1577965124685	OK	 
REQUEST	7		get specific video game	1577965124707	1577965124711	OK	 
USER	Basic Load Simulation 	13	START	1577965125677	1577965125677
REQUEST	13		get all video games	1577965125678	1577965125686	OK	 
REQUEST	8		get specific video game	1577965125707	1577965125711	OK	 
USER	Basic Load Simulation 	14	START	1577965126676	1577965126676
REQUEST	14		get all video games	1577965126677	1577965126684	OK	 
REQUEST	9		get specific video game	1577965126707	1577965126711	OK	 
USER	Basic Load Simulation 	15	START	1577965127677	1577965127677
REQUEST	15		get all video games	1577965127678	1577965127685	OK	 
REQUEST	10		get specific video game	1577965127706	1577965127710	OK	 
REQUEST	11		get specific video game	1577965128697	1577965128702	OK	 
REQUEST	3		get all video games	1577965128767	1577965128773	OK	 
REQUEST	5		get all video games	1577965128767	1577965128773	OK	 
REQUEST	4		get all video games	1577965128767	1577965128774	OK	 
REQUEST	1		get all video games	1577965128767	1577965128774	OK	 
USER	Basic Load Simulation 	1	END	1577965118677	1577965128779
USER	Basic Load Simulation 	3	END	1577965118677	1577965128779
USER	Basic Load Simulation 	5	END	1577965118677	1577965128779
USER	Basic Load Simulation 	4	END	1577965118677	1577965128779
REQUEST	6		get all video games	1577965128776	1577965128780	OK	 
REQUEST	2		get all video games	1577965128776	1577965128780	OK	 
USER	Basic Load Simulation 	2	END	1577965118677	1577965128781
USER	Basic Load Simulation 	6	END	1577965118685	1577965128781
REQUEST	12		get specific video game	1577965129708	1577965129713	OK	 
REQUEST	7		get all video games	1577965129708	1577965129713	OK	 
USER	Basic Load Simulation 	7	END	1577965119676	1577965129714
REQUEST	8		get all video games	1577965130706	1577965130710	OK	 
REQUEST	13		get specific video game	1577965130706	1577965130710	OK	 
USER	Basic Load Simulation 	8	END	1577965120677	1577965130711
REQUEST	14		get specific video game	1577965131698	1577965131703	OK	 
REQUEST	9		get all video games	1577965131706	1577965131711	OK	 
USER	Basic Load Simulation 	9	END	1577965121677	1577965131711
REQUEST	15		get specific video game	1577965132697	1577965132702	OK	 
REQUEST	10		get all video games	1577965132707	1577965132712	OK	 
USER	Basic Load Simulation 	10	END	1577965122677	1577965132713
REQUEST	11		get all video games	1577965133706	1577965133710	OK	 
USER	Basic Load Simulation 	11	END	1577965123676	1577965133711
REQUEST	12		get all video games	1577965134706	1577965134711	OK	 
USER	Basic Load Simulation 	12	END	1577965124677	1577965134711
REQUEST	13		get all video games	1577965135708	1577965135713	OK	 
USER	Basic Load Simulation 	13	END	1577965125677	1577965135714
REQUEST	14		get all video games	1577965136708	1577965136713	OK	 
USER	Basic Load Simulation 	14	END	1577965126676	1577965136713
REQUEST	15		get all video games	1577965137708	1577965137714	OK	 
USER	Basic Load Simulation 	15	END	1577965127677	1577965137715
