RUN	simulations.FixedDurationLoadSimulation	fixeddurationloadsimulation	1577969192520	 	3.0.2
USER	Fixed Duration Load Simulation 	10	START	1577969198333	1577969198333
USER	Fixed Duration Load Simulation 	6	START	1577969198332	1577969198332
USER	Fixed Duration Load Simulation 	7	START	1577969198333	1577969198333
USER	Fixed Duration Load Simulation 	11	START	1577969198333	1577969198333
USER	Fixed Duration Load Simulation 	9	START	1577969198333	1577969198333
USER	Fixed Duration Load Simulation 	4	START	1577969198332	1577969198332
USER	Fixed Duration Load Simulation 	8	START	1577969198333	1577969198333
USER	Fixed Duration Load Simulation 	5	START	1577969198332	1577969198332
USER	Fixed Duration Load Simulation 	1	START	1577969198332	1577969198332
USER	Fixed Duration Load Simulation 	2	START	1577969198332	1577969198332
USER	Fixed Duration Load Simulation 	3	START	1577969198332	1577969198332
REQUEST	2		get all video games	1577969198377	1577969198396	OK	 
REQUEST	8		get all video games	1577969198377	1577969198397	OK	 
REQUEST	5		get all video games	1577969198377	1577969198396	OK	 
REQUEST	11		get all video games	1577969198377	1577969198398	OK	 
REQUEST	1		get all video games	1577969198377	1577969198396	OK	 
REQUEST	10		get all video games	1577969198377	1577969198396	OK	 
REQUEST	4		get all video games	1577969198377	1577969198396	OK	 
REQUEST	9		get all video games	1577969198377	1577969198418	OK	 
REQUEST	7		get all video games	1577969198377	1577969198396	OK	 
REQUEST	3		get all video games	1577969198377	1577969198395	OK	 
REQUEST	6		get all video games	1577969198377	1577969198396	OK	 
USER	Fixed Duration Load Simulation 	12	START	1577969198833	1577969198833
REQUEST	12		get all video games	1577969198834	1577969198839	OK	 
USER	Fixed Duration Load Simulation 	13	START	1577969199333	1577969199333
REQUEST	13		get all video games	1577969199334	1577969199339	OK	 
USER	Fixed Duration Load Simulation 	14	START	1577969199833	1577969199833
REQUEST	14		get all video games	1577969199834	1577969199839	OK	 
USER	Fixed Duration Load Simulation 	15	START	1577969200333	1577969200333
REQUEST	15		get all video games	1577969200334	1577969200339	OK	 
USER	Fixed Duration Load Simulation 	16	START	1577969201331	1577969201331
REQUEST	16		get all video games	1577969201332	1577969201336	OK	 
USER	Fixed Duration Load Simulation 	17	START	1577969201830	1577969201830
REQUEST	17		get all video games	1577969201831	1577969201835	OK	 
USER	Fixed Duration Load Simulation 	18	START	1577969202330	1577969202330
REQUEST	18		get all video games	1577969202331	1577969202335	OK	 
USER	Fixed Duration Load Simulation 	19	START	1577969202832	1577969202832
REQUEST	19		get all video games	1577969202833	1577969202840	OK	 
USER	Fixed Duration Load Simulation 	20	START	1577969203332	1577969203332
REQUEST	20		get all video games	1577969203333	1577969203338	OK	 
REQUEST	7		get specific video game	1577969203421	1577969203426	OK	 
REQUEST	3		get specific video game	1577969203421	1577969203426	OK	 
REQUEST	1		get specific video game	1577969203421	1577969203429	OK	 
REQUEST	5		get specific video game	1577969203422	1577969203430	OK	 
REQUEST	4		get specific video game	1577969203421	1577969203430	OK	 
REQUEST	6		get specific video game	1577969203422	1577969203431	OK	 
REQUEST	8		get specific video game	1577969203423	1577969203431	OK	 
