RUN	senaryo.ilkSenaryo	ilksenaryo	1602678072221	 	3.0.2
USER	Login	1	START	1602678074798	1602678074798
USER	Login	2	START	1602678074834	1602678074834
USER	Login	3	START	1602678074835	1602678074835
USER	Login	4	START	1602678074836	1602678074836
USER	Login	5	START	1602678074837	1602678074837
REQUEST	1		login ol	1602678074832	1602678083998	OK	 
REQUEST	4		login ol	1602678074837	1602678084478	OK	 
REQUEST	1		login ol Redirect 1	1602678084019	1602678084611	OK	 
REQUEST	4		login ol Redirect 1	1602678084481	1602678085052	OK	 
REQUEST	5		login ol	1602678074838	1602678085132	OK	 
REQUEST	2		login ol	1602678074835	1602678085155	OK	 
REQUEST	1		teklife gel	1602678084633	1602678085273	OK	 
USER	Login	1	END	1602678074798	1602678085284
REQUEST	4		teklife gel	1602678085055	1602678085368	OK	 
USER	Login	4	END	1602678074836	1602678085371
REQUEST	3		login ol	1602678074836	1602678085673	OK	 
REQUEST	5		login ol Redirect 1	1602678085133	1602678085815	OK	 
REQUEST	2		login ol Redirect 1	1602678085157	1602678085815	OK	 
REQUEST	3		login ol Redirect 1	1602678085675	1602678086027	OK	 
REQUEST	2		teklife gel	1602678085820	1602678086290	OK	 
USER	Login	2	END	1602678074834	1602678086292
REQUEST	5		teklife gel	1602678085819	1602678086301	OK	 
USER	Login	5	END	1602678074837	1602678086302
REQUEST	3		teklife gel	1602678086030	1602678086308	OK	 
USER	Login	3	END	1602678074835	1602678086309
